IAU_Name,RA_deg,Dec_deg,Cross_ID,Spectral_Type,Crowding_Category,d_arcsec,Delta_m12_F275W,F_WR_F275W,F_WR_F475W,F_WR_F814W,mag_F275W,e_mag_F275W,mag_F336W,e_mag_F336W,mag_F475W,e_mag_F475W,mag_F814W,e_mag_F814W,mag_F110W,e_mag_F110W,mag_F160W,e_mag_F160W,Coord_Source,DEIMOS_Flag
M33 J013432.29+304659.8,23.6345,30.7833,MC 74,WCE,Isolated,0.1860,2.4000,0.6040,,,,,,,,,,,,,,,PHATTER,0
M33 J013432.48+304703.3,23.6353,30.7843,N604-WR12,WN10,Moderately Crowded,0.1370,0.6500,0.5400,,,,,,,,,,,,,,,PHATTER,0
M33 J013432.58+304706.0,23.6357,30.7850,MC 75,WNL,Very Crowded,0.1930,0.5100,0.3590,,,,,,,,,,,,,,,PHATTER,0
M33 J013432.74+304717.3,23.6364,30.7881,---,Ofpe/WN9,Isolated,0.2570,5.5000,0.9430,,,,,,,,,,,,,,,PHATTER,0
M33 J013432.75+304703.5,23.6365,30.7843,N604-WR5,WC6,Very Crowded,0.1450,0.4100,0.5300,,,,,,,,,,,,,,,PHATTER,0
M33 J013433.19+310019.2,23.6383,31.0053,---,WN7+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013433.54+304704.8,23.6398,30.7847,MC 76,WN8+neb,Very Crowded,0.6560,0.8800,0.5070,,,,,,,,,,,,,,,PHATTER,0
M33 J013433.80+304656.5,23.6408,30.7823,N604-WR7,WC4,Isolated,0.2830,4.3600,0.6440,,,,,,,,,,,,,,,PHATTER,0
M33 J013434.04+304654.1,23.6419,30.7817,N604-WR11,WNE,Very Crowded,0.1740,0.3000,0.1020,,,,,,,,,,,,,,,PHATTER,0
M33 J013438.15+304953.1,23.6589,30.8314,---,WN5,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013438.95+304119.7,23.6623,30.6888,---,WC4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013440.39+304321.8,23.6683,30.7227,MCA 16,WN4+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013443.48+304919.3,23.6812,30.8220,---,WN4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013444.25+303757.1,23.6844,30.6325,---,WN3,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013444.58+304445.3,23.6857,30.7459,MC 77,WC5-6,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013447.29+310748.7,23.6970,31.1302,---,WN3,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013458.86+304128.9,23.7452,30.6914,MC 78,WC4,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013505.34+304114.8,23.7722,30.6874,MC 79,WC4-5,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013507.21+304500.8,23.7800,30.7502,---,WC5,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013509.70+304157.2,23.7904,30.6992,Romano's star,Ofpe/WN9,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013510.24+304522.8,23.7927,30.7563,---,WN2pec,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013254.09+302313.6,23.2254,30.3871,---,---,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013344.01+304127.4,23.4334,30.6909,---,---,Isolated,0.0830,1.7800,0.8010,,,,,,,,,,,,,,,PHATTER,0
M33 J013302.70+301131.5,23.2612,30.1921,---,---,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013404.03+304658.2,23.5168,30.7828,---,---,Isolated,0.1060,4.2400,0.9440,,,,,,,,,,,,,,,PHATTER,0
M33 J013411.43+303637.3,23.5476,30.6104,---,---,Isolated,0.1930,4.0900,0.6660,,,,,,,,,,,,,,,PHATTER,0
M33 J013434.24+304637.8,23.6427,30.7772,---,---,Isolated,0.1950,2.3100,0.8520,,,,,,,,,,,,,,,PHATTER,0
M33 J013442.38+305018.9,23.6766,30.8386,---,---,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013418.35+303836.8,23.5764,30.6436,---,Ofpe/WN9,Isolated,0.1360,2.0800,0.8600,,,,,,,,,,,,,,,PHATTER,0
