IAU_Name,RA_deg,Dec_deg,Cross_ID,Spectral_Type,Crowding_Category,d_arcsec,Delta_m12_F275W,F_WR_F275W,F_WR_F475W,F_WR_F814W,mag_F275W,e_mag_F275W,mag_F336W,e_mag_F336W,mag_F475W,e_mag_F475W,mag_F814W,e_mag_F814W,mag_F110W,e_mag_F110W,mag_F160W,e_mag_F160W,Coord_Source,DEIMOS_Flag
M33 J013351.24+303811.6,23.4635,30.6366,MC 54,WC7+abs,Very Crowded,0.1700,0.0700,0.2200,,,,,,,,,,,,,,,PHATTER,0
M33 J013351.81+303328.2,23.4659,30.5578,MC 55,WC6,Isolated,0.1110,5.6500,0.6700,,,,,,,,,,,,,,,PHATTER,0
M33 J013351.99+304023.6,23.4666,30.6732,MC 56,WC4+abs,Very Crowded,0.2660,0.6600,0.3830,,,,,,,,,,,,,,,PHATTER,0
M33 J013352.39+304351.6,23.4683,30.7310,MCA 12,WN8,Isolated,0.0450,7.6900,0.9420,,,,,,,,,,,,,,,PHATTER,0
M33 J013352.68+303907.3,23.4695,30.6520,MC 50,WNE,Isolated,0.0870,3.5400,0.5000,,,,,,,,,,,,,,,PHATTER,0
M33 J013352.67+304501.9,23.4695,30.7505,MC 57,WC4,Isolated,0.0450,3.5400,0.7260,,,,,,,,,,,,,,,PHATTER,0
M33 J013352.72+304444.4,23.4697,30.7457,MJ B4,WN,Isolated,0.0640,5.3500,0.8200,,,,,,,,,,,,,,,PHATTER,0
M33 J013352.77+304347.6,23.4699,30.7299,MC 58,WNE,Very Crowded,0.3160,0.6800,0.6050,,,,,,,,,,,,,,,PHATTER,0
M33 J013353.21+304413.6,23.4717,30.7371,MC 59,WC,Isolated,0.1400,4.8800,0.8240,,,,,,,,,,,,,,,PHATTER,0
M33 J013353.56+303851.6,23.4732,30.6477,MJ X15,Ofpe/WN9,Isolated,0.0890,6.2200,0.9320,,,,,,,,,,,,,,,PHATTER,0
M33 J013353.78+303528.5,23.4741,30.5913,MJ G34,WNE,Very Crowded,0.1780,0.1400,0.2900,,,,,,,,,,,,,,,PHATTER,0
M33 J013354.39+303452.8,23.4766,30.5813,AM 14,WC6,Isolated,0.4150,5.2400,0.4730,,,,,,,,,,,,,,,PHATTER,0
M33 J013354.82+303222.6,23.4784,30.5396,OB 6-5,WN9-10,Isolated,0.1030,7.4700,0.9440,0.9430,0.4730,,,,,,,,,,,,,PHATTER,0
M33 J013355.30+302000.9,23.4804,30.3336,---,WN3+neb,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013355.59+304534.7,23.4816,30.7596,MJ B17,WN,Moderately Crowded,0.3500,1.9400,0.4250,,,,,,,,,,,,,,,PHATTER,0
M33 J013355.67+304501.2,23.4820,30.7503,MJ B8,WN7,Isolated,0.0340,8.0300,0.9660,0.9660,0.7700,,,,,,,,,,,,,PHATTER,0
M33 J013355.84+304528.4,23.4827,30.7579,---,WN7,Moderately Crowded,0.0770,0.5000,0.2920,,,,,,,,,,,,,,,PHATTER,0
M33 J013355.91+302732.0,23.4829,30.4589,---,WN3+B2I,---,,,,,,,,,,,,,,,,,,Neugent+2011,0
M33 J013355.86+303407.3,23.4827,30.5687,AM 15,WC4-5,Very Crowded,0.6580,1.1300,0.4440,,,,,,,,,,,,,,,PHATTER,0
M33 J013356.18+303241.8,23.4841,30.5450,AM 16,WC,Very Crowded,0.4420,0.3500,0.0220,,,,,,,,,,,,,,,PHATTER,0
M33 J013356.30+303420.6,23.4846,30.5724,---,WN3,Isolated,0.0730,1.2500,0.2240,,,,,,,,,,,,,,,PHATTER,0
M33 J013356.35+303455.3,23.4848,30.5820,AM 17,WC5,Isolated,0.0640,3.1000,0.6750,,,,,,,,,,,,,,,PHATTER,0
M33 J013357.17+303511.7,23.4882,30.5866,MCA 14,WNL,Isolated,0.1730,2.9100,0.6970,,,,,,,,,,,,,,,PHATTER,0
M33 J013357.71+303416.0,23.4905,30.5711,MC 63,WN,Isolated,0.2160,4.7200,0.6870,,,,,,,,,,,,,,,PHATTER,0
M33 J013358.47+303431.1,23.4936,30.5753,AM 18,WNL,Isolated,0.1780,4.8600,0.7610,,,,,,,,,,,,,,,PHATTER,0
M33 J013358.67+303525.7,23.4945,30.5905,OB 2-4,B1 Ia+WNE,Moderately Crowded,0.7620,4.1000,0.7270,,,,,,,,,,,,,,,PHATTER,0
M33 J013359.36+303337.3,23.4973,30.5604,AM 19,WC6,Isolated,0.1150,5.8100,0.8350,,,,,,,,,,,,,,,PHATTER,0
M33 J013359.63+303435.0,23.4985,30.5764,---,WN5,Very Crowded,0.8830,0.1000,0.1560,,,,,,,,,,,,,,,PHATTER,0
